manual,pagina,arquivo_imagem,texto_extraido
Montagem em campo WA1200-6 CARREGADEIRA DE RODAS.pdf,83,Montagem em campo WA1200-6 CARREGADEIRA DE RODAS_pagina_83.png,"Descrigao da operacao:

Remova a protecao do trem de forga e coloque-a sob o corpo da maquina.

‘ -

5 HPRYDHFRORTXHQRFKmR
7RPHFXLGDGRSDUDQmRSHUGHURV
SDUDIXVRVUHPRYLGRV

Precaugées

Ferramentas especiais

Equipamento utilizado

Modelo

Qtde.

Modelo

Unidades

43

"
Montagem em campo WA1200-6 CARREGADEIRA DE RODAS.pdf,84,Montagem em campo WA1200-6 CARREGADEIRA DE RODAS_pagina_84.png,"Informagées adicionais

Procedimento para
montagem em campo

No. 0120

Instalagao do eixo traseiro

Descrigao da operacao:
Instale o conjunto do eixo traseiro no chassi traseiro.
Monte 0 conjunto do eixo traseiro sob o chassi traseiro antes de montar o chassi traseiro na bancada.
7RUTXHGHDSHUWRD1P
DNJP

>

7RUTXHGHDSHUWRD1P.

‘A ae DNJP
~*~

No. da pega Denominagaéo da pega Qtde. | Condigao (numero da lista de pegas)
(1) | - Conjunto do eixo traseiro 1 Envio da unidade (No. W12-6-0100)
(2) | 42C-46-17210 PARAFUSO 6 Envio da unidade (No. W12-6-0120)
(3) | 01643-34512 ARRUELA 12 Envio da unidade (No. W12-6-0120)
(4) | 01580-04536 PORCA 6 Envio da unidade (No. W12-6-0120)
(5) | 42C-46-17210 PARAFUSO 12 Envio da unidade (No. W12-6-0120)
(6) | 01643-34512 ARRUELA 24 Envio da unidade (No. W12-6-0120)
(7) | 01580-04536 PORCA 12 Envio da unidade (No. W12-6-0120)
(8) | 42C-46-12380 PLACA 2 Envio da unidade (No. W12-6-0120)
(9) | 42C-46-12390 PLACA 4 Envio da unidade (No. W12-6-0120)
Precaugdes Ferramentas especiais Equipamento utilizado

Modelo Qtde. Modelo Unidades

44

"
Montagem em campo WA1200-6 CARREGADEIRA DE RODAS.pdf,85,Montagem em campo WA1200-6 CARREGADEIRA DE RODAS_pagina_85.png,"Limpe as faces de montagem do eixo e do chassi para
eliminar materiais estranhos antes da instalagao.
Mantenha a face de montagem do lado do eixo
paralela a face de montagem do eixo do lado do
chassi.

Antes de instalar o eixo traseiro, instale o eixo de
transmissao traseiro no eixo traseiro para facilitar o
trabalho.

Antes de instalar o eixo traseiro, remova a mangueira
de resfriamento do freio do tubo de resfriamento no
chassi dianteiro e instale-a no tubo de resfriamento do
freio traseiro.

Chave de impacto 1 Guindaste: 50 t 1

Soquete: 70 mm 1

Chave hidraulica 1

Informagées adicionais

Procedimento para

montagem em campo Instalagdo

No. 0130

do conjunto de_ rodae pneu
traseiro

45
"
Montagem em campo WA1200-6 CARREGADEIRA DE RODAS.pdf,86,Montagem em campo WA1200-6 CARREGADEIRA DE RODAS_pagina_86.png,"* Somente para a especificagao da bancada do extintor
Instalagao do conjunto de
rodas e@ pneu: de incéndio
(Cédigo de vendas: 6XA76), prenda o

pneu traseiro direito conforme mostrado abaixo.
1. Antes da instalagao, remova a graxa do prisioneiro.

Posicione a ferramenta de igamento para que o pneu
2. Amarre o pneu com o guindaste, instale-o no eixo e instale a porca. fique nivelado.

(Tome cuidado para nao danificar o tubo de injegao de ar do pneu.)

3. Instale temporariamente a porca de fixagao do pneu com uma chave de impacto.
(Um balanceador para segurar a chave de impacto é util devido a posigao elevada de trabalho e a quantidade de
porcas a serem apertadas.)

4. Aperte a porca com o torque especificado usando um torquimetro.
5. Calce as rodas e remova os blocos de madeira sob 0 corpo da maquina.

No. da pega | Denominagao da pega | Qtde. | Condigao (numero da lista de

pecas)

(1) | 42C-30- Conjunto de roda e 2 Envio da unidade (No. W12-
11020 pneu 6-0130)

(2) | 42C-22- PORCA 122 | Envio da unidade (No. W12-
12930 6-0130)

(3) | 01643-33080) ARRUELA 122 | Envio da unidade (No. W12-
6-0130)

tto de instalagao: &DUDFWHUtVWLFDVGHVHJXUDQoD|

$SOLTXHQyGH

1. Antes de instalar o conjunto de aro e pneu, verifique se a altura do HVWUDQJXODPI

centro do eixo até o solo é de 1900 mm ou mais. 7RUTXHGHDSHUWRD1P

2. Utilize dois guindastes para o conjunto de aro e pneu. Apés instalar de um
lado, mantenha o primeiro guindaste em estado de amarracao e ajuste a
inclinagao do eixo devido ao peso proprio do pneu para a operagao. (* Com
medidas contra oscilagdes horizontais do eixo) /

3. Ao prender o conjunto de aro e pneu, amarre-o de modo que a face de /
montagem no eixo fique 0 mais paralelo possivel.

[eRpRiopuRSaH oDUFRPFLQWDVGHQILORG
|&RPRLODURSQH) HPILPGHWRQHODGD\
SHODV

3UHSDUHEORFRVGH

PDGHLUDSDUDFDQoDU 9 7
&HUWR (UUDGR
Precaugdes Ferramentas especiais Equipamento utilizado

1. Ao amarrar o conjunto do pneu, mantenha-o paralelo Modelo Qtde. Modelo Unidades

para que nao incline. (A instalagao no eixo nao pode - 7

ser feita se as rodas estiverem travadas.) Chave de impacto 1 Guindaste: 50 t 2
2. Sea pressdo do ar do pneu for ajustada em campo, Torquimetro 1

descarregue gradualmente e verifique a pressao. (O q

reenchimento é dificil se muito ar for descarregado.)
3. Certifique-se de que nao haja tinta ou material Soquete: 46 mm 4

estranho na face de montagem da porca do cubo das

rodas.

Cinta de nylon

46
"
Montagem em campo WA1200-6 CARREGADEIRA DE RODAS.pdf,87,Montagem em campo WA1200-6 CARREGADEIRA DE RODAS_pagina_87.png,"(5 t X L8000) 4

Informagées adicionais

Procedimento para
montagem em campo

No. 0200

Conexao
(superior)

dos chassis. dianteiro e

traseiro

47

"
Montagem em campo WA1200-6 CARREGADEIRA DE RODAS.pdf,88,Montagem em campo WA1200-6 CARREGADEIRA DE RODAS_pagina_88.png,"Aplicar Loctite n° 262
Para o procedimento de conexao entre o dianteiro e os chassis AS 4) Torque de aperto: 824 a 1030 Nm
(84 a 105 kgm)

traseiros, consulte o N° 0220.

Removao suporte (7) g (al 6)

Bucha: Nao aplicar graxa ou outro
lubrificante na parte interna cénica

ji[Detalhes da Parte P|

Aplicar LM-P apenas na
arte inferior reta do pino 2

Descricgao da operagao:
Conecte 0 conjunto do chassi dianteiro ao conjunto do chassi traseiro.

=
{ | No. da pega | Denominagao da pega Qtde. Condigao (numero da lista de pegas) ° ®
=>
CONJUNTO DO CHASSI *
(1) | 42C-46-1170A DIANTEIRO 1 Envio da unidade (No. W12-6-0200) Gite de néton
42C-46-13141 | EIXO [1 | Instalado temporariamente no chassi traseiro Olhal (M24)
42C-46-13110 _| RETENTOR [1 | Instalado temporariamente no chassi traseiro |
01010-62490 _| PARAFUSO | 4 | Envio da unidade (No. W12-6-0200)
01010-62490 _| PARAFUSO = Instalado temporariamente no chassi traseiro
(6) | 23B-27-31550 | ARRUELA Envio da unidade (No. W12-6-0200)
| (7) | 01643-32460 [ ARRUELA 6 Instalado temporariamente no chassi traseiro
| (8) | 42C-46-11240 [ CALGO 5 Instalado temporariamente no chassi traseiro A
Como amarrar o eixo
Precaugées Ferramentas especiais Equipamento utilizado
Modelo Qtde. Modelo Unidades

Chave de impacto
(Soquete #17, #30, #36, #46) Guindaste: 50 t 2

Ferramenta de elevagao
(para chassi dianteiro
/para chassi traseiro)

Torquimetro

(Set: 549, 927, 1715 Nm) cada

Macaco, calibrador de

espessura, martelo de cobre Compressor de ar 1

Informagées adicionais

48
"
Montagem em campo WA1200-6 CARREGADEIRA DE RODAS.pdf,89,Montagem em campo WA1200-6 CARREGADEIRA DE RODAS_pagina_89.png,"Procedimento para Procedimento de Montagem em Campo

montagem em campo
° ° Conexao dos chassis dianteiro e _ traseiro
No. 0205 (superior)(especificagao de embalagem para
transporte terrestre)

Aplicar Loctite n° 262

Para 0 procedimento de conexao dos chassis Torque de aperto: 824 a 1030 Nm

dianteiro e traseiro, consulte o N° 0220. (6 (84 a 105 kgm)
(
Remova o suporte (8 ) EB _ (7)
«—(4)
@«—_(9)

Bucha: Nao aplicar graxa ou outro
lubrificante na parte interna cénica

Td. s
/|Detalhes da Parte P

Aplicar LM-P apenas na
parte inferior reta do pino ( 3

Descrigao da operagao:
Conecte the conjunto do chassi dianteiro a the conjunto do chassi traseiro. o>)

No. da pega Denominagao da peca Condigdo (numero da lista de pegas) oc

(1) | 42c-46-1170A | Conj. do CHASSI DIANTEIRO Envio da unidade (No. W12-6-0205) Cinta de nailon
[ay | aecas-isiz0 [eucwa «ft Erving uidade No wi26-0205) | Oma (pay
42c-46-13110 | RETENTOR ss —1_| Envio da unidade (No. W12-6-0205)
01010-62490 | PARAFUSO | 4 _| Envio da unidade (No. W12-6-0205)
01010-62490 _| PARAFUSO | 6 | Envio da unidade (No. W12-6-0205)
23B-27-31550 | ARRUELA | 4 _ | Envio da unidade (No. W12-6-0205)

( 01643-32460 | ARRUELA 6 | Envio da unidade (No. W12-6-0205) Como amarrar 0 eixo

(9) | 42c-46-11240 | SHIM 5 | Envio da unidade (No. W12-6-0205) TT

Precaucgdes Ferramentas especiais Equipamento utilizado
Modelo Qtde. Modelo Unidades
Chave de impacto Guindaste: 50 t 2

(Soquete #17, #30, #36, #46)

Torquimetro Ferramenta de elevagao 1
(Set: 549, 927, 1715 Nm) (para chassi dianteiro /para cada
chassi traseiro)

49
"
Montagem em campo WA1200-6 CARREGADEIRA DE RODAS.pdf,90,Montagem em campo WA1200-6 CARREGADEIRA DE RODAS_pagina_90.png,"Macaco, calibrador de
espessura, martelo de cobre

Compressor de ar 1

Informag6es adicionais

Céd. de vendas: 7XC40 (tipo de embalagem para transporte terrestre)

Procedimento para
montagem em campo

No. 0210

Conexao dos chassis. dianteiro e

(inferior)

traseiro

Descricao da operagao:
Conecte the conjunto do chassi dianteiro a the conjunto do chassi traseiro.

No. da peca Denominagao da peca Qtde. Condig&o (ntimero da lista de pegas)
(1) | 42C-46-13152 EIXO 1 Instalado temporariamente no chassi traseiro Cinta de nylon
(2)_| 01010-63075 PARAFUSO 1 _ | Instalado temporariamente no eixo (1)
(3) | 42C-46-13181 BUCHA 1 Instalado temporariamente no chassi traseiro | Olhal (M30, rosca fina
(4) | 420-46-13310 CALCO t= 0.1 20 _ | Envio da unidade (No. W12-6-0210)
(5) | 420-46-13290 CALGO t= 0.5 24 _ | Envio da unidade (No. W12-6-0210)
(6) | 420-46-13191 RETENTOR 1_| Instalado temporariamente no chassi traseiro
(7)_| 420-46-13350 PARAFUSO 4 | instalado temporariamente no chassi traseiro
(8) | 01643-34512 ARRUELA Instalado temporariamente no chassi traseiro
(9) | 01011-63610 PARAFUSO 10 _ | Instalado temporariamente no chassi traseiro
(10) | 01643-33690 ARRUELA 10 _ | Instalado temporariamente no chassi traseiro
(11) | 420-46-13161 BUCHA 1 | Instalado temporariamente no chassi traseiro

)

Torque de aperto: 4510 a 5490 Nm

(Traganttasipaquina)
>

Resta ARO ABHGA IO
\ maionpeAd traseira da maquina

Vistaz)

“Le

(2)

Aplique LM-P no eixo (1)

Aplique Loctite n° 262
aera ae eae

(460 a 560 kgm)

Para o procedimento de jungao dos chassis
dianteiro e traseiro, consulte o N° 0220.

ww

Como igar 0 eixo

Chassi traseiro”

3)

Ze) 6)

@ Ss re
_—
to)
(8) —-4 (9) Aplique Loctite n° 262

Torque de aperto: 2450 a 3040 Nm
(250 a 310 kgm)

Precaugdes

Ferramentas especiais

Equipamento utilizado

Modelo Qtde.

Modelo Unidades

50

"
Montagem em campo WA1200-6 CARREGADEIRA DE RODAS.pdf,91,Montagem em campo WA1200-6 CARREGADEIRA DE RODAS_pagina_91.png,"Chave de impacto Guindaste: 50 t 2
(Soquete #17, #30, #36,

#46)

Torquimetro Ferramenta de elevagao 1
(Set: 549, 927, 1715 Nm) (para chassi dianteiro cada

/para chassi traseiro)

Macaco, calibrador de
espessura, martelo de
cobre

Compressor de ar

Informagées adicionais

Procedimento para
montagem em campo

No. 0220

Procedimento de conexao dos chassis
dianteiro e traseiro

51

"
Montagem em campo WA1200-6 CARREGADEIRA DE RODAS.pdf,92,Montagem em campo WA1200-6 CARREGADEIRA DE RODAS_pagina_92.png,"+ Procedimento de conexao para os chassis dianteiro e traseiro.
Verifique se as buchas (42C-46-13321, 42C-46-13330) estao instaladas por interferéncia no chassi dianteiro.

Verifique se a bucha ((11): 42C-46-13161 [No.0210]) esta instalada na dobradic¢a inferior do chassi traseiro.
Verifique se a bucha (42C-46-13120 [ver No. 0200]) esta instalada na dobradiga superior do chassi traseiro.
Instale o retentor ((3): 42C-46-13110 [No. 0200]) no pino superior ((2): 42C-46-13141 [No. 0200}).

Parafuso de fixagao ((4): 01010-62490 [No. 0200]) Torque de aperto: 824 a 1030 Nm {84 a 105 kgm}

5. Insira o chassi dianteiro entre as dobradicas do chassi traseiro e insira o pino superior.

Parafuso de fixagao ((5): 01010-62490 [No. 0200]) Torque de aperto: 824 a 1030 Nm {84 a 105 kgm}

Insira o pino inferior ((1): 42C-46-13152 [No. 0210]) e a bucha ((3): 42C-46-13181 [No. 0210]) na dobradiga inferior e
instale o retentor ((6): 42C-46-13191 [No. 0210]). (Veja a figura abaixo.)

Pon >

2

""LDQWHLU
GDPITXLQD

2 UJDQL]HHLQVWDOHRVSDUDIXVRVGHIL[DomRGR

SLQR>12z @FRQIRUPHPRVWUDGRQHVWDILJXUD
RAWU
SLVWAOLQIHULRUGDMXQWDGRVFKDVVLVGLDQWHLU
4$

7. \nsira um macaco sob a dobradiga inferior do chassi dianteiro para manter o chassi traseiro e a bucha ((11): 42C-
4613161 [No. 0210]) em contato, sem qualquer folga.

8. Apos apertar os parafusos de fixagao do retentor da dobradiga inferior ((7): 42C-46-13350 [No. 0210]: Torque de
aperto: 4510 a 5490 Nm {460 a 560 kgm}, (9): 01011-63610 [No. 0210]: Torque de aperto: 2450 a 3040 Nm {250 a
310 kgm}), golpeie a cabega do pino inferior de 3 a 5 vezes com um martelo de cobre.

9. Apos repetir o passo 8 trés vezes para ajustar as partes em contato, reaperte novamente os parafusos ((7): 42C46-
13350 [No. 0210]: Torque de aperto: 4510 a 5490 Nm {460 a 560 kgm}, (9): 01011-63610 [No. 0210]: Torque de
aperto: 2450 a 3040 Nm {250 a 310 kgm}).

10. Remova todos os parafusos ((9): 01011-63610 [No. 0210]) sem mover o chassi traseiro. Mega a folga entre o

retentor e o chassi em 3 pontos (intervalos de 120 graus) na periferia utilizando um calibrador de espessura para
calcular a folga média.

Combine calgos de forma que a folga média seja de 0,08 a 0,18 mm.
A espessura do calgo nao deve exceder a espessura da folga individual medida.

11. Insira os calgos combinados no passo 10.

Precaugdes Ferramentas especiais Equipamento utilizado
Modelo Qtde. Modelo Unidades
Chave de impacto Guindaste: 50 t 2
(Soquete #17, #30, #36,
#46)
Torquimetro Ferramenta de elevagao 1
(Set: 549, 927, 1715 Nm) (para chassi dianteiro cada
/para chassi traseiro)
Macaco, calibrador de Compressor de ar 1
espessura, martelo de
cobre

Informag6es adicionais

52

"
Montagem em campo WA1200-6 CARREGADEIRA DE RODAS.pdf,93,Montagem em campo WA1200-6 CARREGADEIRA DE RODAS_pagina_93.png,"Procedimento para
montagem em campo

Procedimento de conexao dos chassis _ dianteiro

No. 0220 e traseiro

12. Execute os passos 8 e 9.

13. Remova os parafusos ((7): 42C-46-13350 [No. 0210], (9): 01011-63610 [No. 0210]) (1 pega de cada), aplique Loctite
#262 e aperte-os com o torque especificado. (Desengraxe completamente a parte roscada ou a parte com rosca
interna.)

14. Mega a folga entre o retentor ((3): 42C-46-13110 [No. 0200]) do pino superior e o chassi em 3 pontos (intervalos de
120 graus) na periferia utilizando um calibrador de espessura para calcular a folga média.
Combine os calgos ((8): 42C-46-11240 [No. 0200]) de forma que a folga média seja de 3.a 11mm.

15. Insira os calgos combinados no passo 14.

16. Execute os passos 8, 9 (torque de aperto: 824 a 1030 Nm {84 a 105 kgm}) e 13 para os parafusos do pino superior
((4), (5): 01010-62490 [No. 0200]).

17. Remova o macaco da dobradig¢a inferior do chassi dianteiro.

[Aviso] a Apos concluir o trabalho, coloque a barra de trava de seguran¢a e fixe o corpo da maquina para
evitar a sua articulagao.
a Durante a montagem, aplique graxa suficiente nos mancais.

a Aplique graxa nas partes do eixo da dobradiga superior, eixo da dobradiga inferior e eixo da diregao até que a graxa
extravase pelo vedador de poeira apds a montagem.

a Retocar parafusos pretos e superficies usinadas.

Precaugdes Ferramentas especiais Equipamento utilizado
Modelo Qtde. Modelo Unidades
Chave de impacto Guindaste: 50 t 2
(Soquete #17, #30, #36,
#46)
Torquimetro Ferramenta de elevagao 1
(Set: 549, 927, 1715 Nm) (para chassi dianteiro cada
/para chassi traseiro)
Macaco, calibrador de Compressor de ar 1
espessura, martelo de
cobre

53
"
Montagem em campo WA1200-6 CARREGADEIRA DE RODAS.pdf,94,Montagem em campo WA1200-6 CARREGADEIRA DE RODAS_pagina_94.png,"Informag6es adicionais

Procedimento para

montagememcampo | Aperto do parafuso da_ dobradica central

No. 0230 com o torque

especificado

Descrigao da operacao:

Aperte o parafuso do eixo da dobradica superior com o torque especificado. (Aperte-o em 3 voltas ou mais.)

7RUTXHGHDSHUWRD1P

&DUDFWHUtVWLFDVGHVHJXU DQo

Precaugdes Ferramentas especiais

Equipamento utilizado

Modelo Qtde.

Modelo Unidades

54

"
Montagem em campo WA1200-6 CARREGADEIRA DE RODAS.pdf,95,Montagem em campo WA1200-6 CARREGADEIRA DE RODAS_pagina_95.png,"Informagées adicionais

Procedimento para
montagem em campo

No. 0240

Reinstalagado do suporte do

link

55

"
Montagem em campo WA1200-6 CARREGADEIRA DE RODAS.pdf,96,Montagem em campo WA1200-6 CARREGADEIRA DE RODAS_pagina_96.png,"Descrigao da operagao:
Reinstale o suporte removido no N° 0200.
Instale o suporte novamente

5 HLQVWDOHRVXSRU

Torque de aperto:
54 a 123 Nm (5.5 a 12.5 kgm)

Ideal:
89 Nm (9 kgm)

Precaugdes Ferramentas especiais Equipamento utilizado

Modelo Qtde. Modelo Unidades

56
"
Montagem em campo WA1200-6 CARREGADEIRA DE RODAS.pdf,97,Montagem em campo WA1200-6 CARREGADEIRA DE RODAS_pagina_97.png,"Informag6es adicionais

Procedimento para x
montagem em campo | COonexao da_ placa da_ barra de _ trava
de seguranga
No. 0250 (lado do chassi  dianteiro)
Descric¢ao da operacao:
Conecte a placa da barra de trava de seguranga ao chassi dianteiro.
* Para seguranga, conecte apds a conex4o do chassi dianteiro
&KDVVLGLDQWHL
f J
No. da pega Denominagao da pega Qtde. Condigao (numero da lista de pegas)
(1) 42C-46-14111 PLACA 1 Instalado temporariamente no chassi traseiro
(2) 42C-46-14120 PINO 1 Instalado temporariamente no chassi traseiro
(3) 569-74-61470 PINO DE TRAVA. 1 Instalado temporariamente no chassi traseiro
Precaugdes Ferramentas especiais Equipamento utilizado
Modelo Qtde. Modelo Unidades

57
"
Montagem em campo WA1200-6 CARREGADEIRA DE RODAS.pdf,98,Montagem em campo WA1200-6 CARREGADEIRA DE RODAS_pagina_98.png,"Apos conectar 0 conjunto do chassi dianteiro e
traseiro, verifique se a barra de trava de seguranca
esta conectada e remova primeiro 0 suporte do
lado do chassi traseiro para estabilizar os pneus.
Apos fixar os pneus, certifique-se de calgar as
rodas.

Informagées adicionais

Procedimento para
montagem em campo

No. 0270

Instalagao

do_ pinode

diregao

58

"
Montagem em campo WA1200-6 CARREGADEIRA DE RODAS.pdf,99,Montagem em campo WA1200-6 CARREGADEIRA DE RODAS_pagina_99.png,"Descrigao da operacao:
Conecte a haste do cilindro de diregao ao chassi traseiro.

Me

&Z6UGURGHGLUHom —

Weering Cylinder

—&,

oo

Be reerenet xomccuin
2 7 HVTXHUGDGDPITX QD1mRDSOL”

'HILQDDIHQGDQDGLUHomRGLUHL 4
HVTXHUGDGDPiTXLQD1mRDSOLT.
JUD[DRXRXWUROXEULILFDQWHQ_ «.
LQWHUQDGDVXSHUItFLHF{QLFD. te

& LLL

a $RLQVWDODURFRWRYHORGHJUD[D
GLUHFLRQHRSDUDDWUDVHLU.

ad

LQWACOGDYXSHUIFLHF{QLFD
eo

EULILFDQWH(

&

SQWHVGDPRQWDJHPOLPSHDJUD[DRXRXWUR
OXEULILFDQWHDGHULGRjSDUWHLQWHUQDGDEXFKD

$SHUWHOHYHPHQWHRVSDUDIXVRVQDRUGHPGHLLL,
HLLLGHSRLVDSHUWHRVFRPRWRUTXHHVSHFLILFDGR

QDPHVPDRUGHP

HPFRUW
""LDQWHLUDGDPiTXLQD

&LOLQGURGHGLUHo

SQWHVGDPRQWDJHPOLPSHD
JUD[DRXRXWUROXEULILFDQW
IQDGDEXFK

SLVWDVXSHULRUGDMXQomRGR
FKDVVLGLDQWHLURHWUDVHLUR

$RLQVWDODUGLUHFLRQHRIXURGH
JUD[DSDUDRLQWHULRUGDPITXLQD

No. da Denominagao da pega atde Condig&o (ntimero da lista de
pega - pecas)

(1) 42c-46- | PINO 2 Instalado temporariamente no
12430 chassi traseiro

(2) 420-46. | RETENTOR 2 Instalado temporariamente no
12410 chassi traseiro

8) 42c-46-_ | BUCHA 2 Instalado temporariamente no
12421 chassi traseiro

(4) 01010- | PARAFUSO 6 Instalado temporariamente no
62480 chassi traseiro

6) o1011- | PARAFUSO 4 Instalado temporariamente no
62420 chassi traseiro

(6) 01643- | ARRUELA 10 Instalado temporariamente no
32460 chassi traseiro

a) 420-46-_ | PLACA 2 Instalado temporariamente no
12461 chassi traseiro

8) 42c-46-_ | BUCHA 4 Instalado temporariamente no
12452 chassi traseiro

(9) o1011- | PARAFUSO 4 Instalado temporariamente no
62410 chassi traseiro

(10) | 01643- | ARRUELA 4 Instalado temporariamente no
32460 chassi traseiro

(11) | 42c-46- | ESPACADOR 4 Instalado temporariamente no
12440 chassi traseiro

(12) | 6141-55. | NIPLE 2 Instalado temporariamente no
5630 chassi traseiro
7000 Instalado temporariamente na

(13) ~ | Anel “Oo” 4 ranhura interna do mancal do
15160 ,

cilindro

(14) | 561-95- | COTOVELO 2 Instalado temporariamente no

63290 chassi traseiro
Precaugdes Ferramentas especiais

Equipamento utilizado

Limpe cuidadosamente 0 cilindro da diregao e
as faces de instalagao dos pinos para eliminar
materiais estranhos.

Modelo Qtde. Modelo Unidades
GANCHO DE 1 Guindaste: 50 t 1
IGAMENTO 1tonX
L300
Chave de impacto 1
Torquimetro 1

59

"
Montagem em campo WA1200-6 CARREGADEIRA DE RODAS.pdf,100,Montagem em campo WA1200-6 CARREGADEIRA DE RODAS_pagina_100.png,"Soquete: 37 mm 1

Informagées adicionais

Procedimento para | ~ . . ~
montagem em campo nstalagao do pinoda_ diregao
(especificagaodo tipo de embalagem
No. 0275
. para transporte terrestre)
No. da pega Denominagao da peca | Qtde. Condigao (numero da lista de pecas) 9LVWDVXSHULRUGDMXQomRGR
FKDVVLGLDQWHLURHWUDVHLUR

(1) 42C-46-12430 PINO 2 Envio da unidade (No. W12-6-0275)

(2) 42C-46-12410 RETENTOR 2 Envio da unidade (No. W12-6-0275)

(3) 42C-46-12421 BUCHA 2 Envio da unidade (No. W12-6-0275)

(4) 01010-62480 PARAFUSO. 6 Envio da unidade (No. W12-6-0275)

(5) 01011-62420 PARAFUSO. 4 Envio da unidade (No. W12-6-0275)

(6) 01643-32460 ARRUELA 10 Envio da unidade (No. W12-6-0275)

(7) 42C-46-12461 PLACA 2 Envio da unidade (No. W12-6-0275)

(8) 42C-46-12452 BUCHA 4 Envio da unidade (No. W12-6-0275)

(9) 01011-62410 PARAFUSO. 4 Envio da unidade (No. W12-6-0275)

(10) 01643-32460 ARRUELA 4 Envio da unidade (No. W12-6-0275)

(11) 42C-46-12440 ESPACADOR 4 Envio da unidade (No. W12-6-0275)

(12) 6141-55-5630 NIPLE 2 Envio da unidade (No. W12-6-0275)

(13) | 07000-15160 | anel“o"" 4 boning nner preove no cylinder

(14) 561-95-63290 COTOVELO 2 Envio da unidade (No. W12-6-0275)

"
Montagem em campo WA1200-6 CARREGADEIRA DE RODAS.pdf,101,Montagem em campo WA1200-6 CARREGADEIRA DE RODAS_pagina_101.png,"Descrigao da operagao:
Conecte a haste do cilindro da diregao ao chassi traseiro.

“NE aa Ly

2 HILQDDIHQGDQDGLUHomRGLUHLWDH =
, HVTXHUGI)GDP/TXLQD1mRDSOLTXH

Be A SURDREULILFDGWHa i

a < aoe |

$RLQVWDODUGLUHFLRQHRIXURG

of © | | JuDjDSDUDRLQWHULRUGDPITXLQD
= . ia rt \
a SE 2) Al |
|
/, |
Z 4 / ELCs
. f “ss $QWHVGDPRQWDJHPOLPSHD
vA 9LVW JUD[DRXRXWUROXEULILFDQ
° Fs HPFRUWH |QDGDEXFK
“ ""LDQWHLUDGDPiTXLQD

aL GLO tng Hon

So ‘HILQDDIHQGDQDGLUHomRGLUHLWDH
HVTXHUGDGDPiTXLQD1mRDSOLTXH
JUD[DRXRXWUROXEULILFDQWHQDSDU

"" LQWHUQDGDVXSHUItFLHF{QLF
~tF

———
OXEULILFDQWHDGHULGRjSDUWHLQWHUQDGDE»

$SHUWHOHYHPHQWHRVSDUDIXVRVQDRUGHPGHLLL
HLLLGHSRLVDSHUWHRVFRPRWRUTXHHVSHFLILFDGR

QDPHVPDRUGHP
Torque de aperto de (4), (5), (9): 824 a 1030 Nm (84 a 105 kgm)

Aplique Loctite n° 262

Precaugdes Ferramentas especiais Equipamento utilizado
Limpe cuidadosamente as faces de instalagao do Modelo Qtde. Modelo Unidades
cilindro de diregao e do pino para eliminar materiais . ,
estranhos. GANCHO DE 1 Guindaste: 50 t 1
IGAMENTO 1tonX
L300
Chave de impacto 1
Torquimetro 1
Soquete: 37 mm 1

61
"
Montagem em campo WA1200-6 CARREGADEIRA DE RODAS.pdf,102,Montagem em campo WA1200-6 CARREGADEIRA DE RODAS_pagina_102.png,"Informag6es adicionais
Cod. de vendas: 7XC40 (tipo de embalagem para transporte
terrestre)

Procedimento para
montagem em campo

No. 0280

Instalagao da_ barra de trava
(especificagaodo tipo de embalagem
para transporte terrestre)

Descrigao da operacao:
Instale a barra de trava.

Corte e descarte a corrente, pois ela é desnecessaria.

No. da pega Denominagao da pega Qtde. Condigao (numero da lista de pecas)
(1) | 42C-46-14321 PLACA 1 Envio da unidade (No. W12-6-0280)
(2) | 42C-46-14120 PINO 2 Envio da unidade (No. W12-6-0280)
(3) | 569-74-61470 PINO DE TRAVA 1 Envio da unidade (No. W12-6-0280)
(4) | 04050-10085 PINO 1 Envio da unidade (No. W12-6-0280)

Precaugdes

Ferramentas especiais

Equipamento utilizado

62

Modelo

Qtde.

Modelo

Unidades

Guindaste: 50 t

1

"
Montagem em campo WA1200-6 CARREGADEIRA DE RODAS.pdf,103,Montagem em campo WA1200-6 CARREGADEIRA DE RODAS_pagina_103.png,"Informagées adicionais
Cod. de vendas: 7 XC40 (tipo de embalagem para transporte
terrestre)

63

"
